Date,Open,High,Low,Close,Adj Close,Volume
2023/8/7,16870.81055,17032.32031,16868.74023,16996,16996,3358800
2023/8/8,17006.46094,17043.56055,16812.58984,16877.07031,16877.07031,3689000
2023/8/9,16836.64063,16956.73047,16798.5,16870.93945,16870.93945,3230500
2023/8/10,16827.10938,16827.10938,16601.16992,16634.69922,16634.69922,3822300
2023/8/11,16644.65039,16766.83984,16601.25,16601.25,16601.25,3143400
2023/8/14,16585.41016,16585.41016,16307.28027,16393.66016,16393.66016,3754700
2023/8/15,16438.63086,16546.00977,16437.63086,16454.80078,16454.80078,3164800
2023/8/16,16422.19922,16446.7793,16304.44043,16446.7793,16446.7793,3521200
2023/8/17,16411.63086,16550.10938,16264.65039,16516.66016,16516.66016,3718500
2023/8/18,16508.46094,16583.94922,16344.29004,16381.30957,16381.30957,3834000
2023/8/21,16414.14063,16485.25,16347.76953,16381.49023,16381.49023,2647300
2023/8/22,16429.68945,16535.07031,16407.83008,16437.60938,16437.60938,2929100
2023/8/23,16440.39063,16588.50977,16440.39063,16576.90039,16576.90039,3025900
2023/8/24,16651.0293,16822.35938,16651.0293,16770.86914,16770.86914,3988000
2023/8/25,16708.5293,16708.5293,16481.58008,16481.58008,16481.58008,3217200
2023/8/28,16498.85938,16582.96094,16498.85938,16509.25977,16509.25977,3052400
2023/8/29,16528.49023,16627.69922,16495.75977,16623.65039,16623.65039,2649500
2023/8/30,16666.33008,16780.41992,16666.33008,16719.82031,16719.82031,2979300
2023/8/31,16707.34961,16712.2207,16630.66992,16634.50977,16634.50977,3812000
2023/9/1,16640.91992,16730.13086,16619.23047,16644.93945,16644.93945,3194100
2023/9/4,16649.66992,16789.68945,16648.50977,16789.68945,16789.68945,2734900
2023/9/5,16784.11914,16791.60938,16727.43945,16791.60938,16791.60938,2626500
2023/9/6,16796.36914,16841.18945,16732.68945,16738.16016,16738.16016,3123200
2023/9/7,16715.44922,16715.44922,16609.93945,16619.14063,16619.14063,2727400
